Metal/Alloy Name,Corrosion Rate (mpy),Corrosion Density Current (µA/cm²),Polarization Resistance (ohms),Media,Corrosion Resistance
"Al-74%, Zn-26%",0.194,9.09,526.3,Atmospheric,Fair
"Al-80%, Zn-20%",0.476,2.47,5318.23,Sulfide Solution,Poor
"Al-78%, C-22%",0.369,1.53,5410.94,Oil & Gas Environment,Poor
"Al-70%, Mg-30%",0.303,4.95,6377.92,Alkaline Solution,Poor
"Cu-81%, Mg-19%",0.086,9.86,7263.65,Acidic Solution,Excellent
"Cu-83%, C-17%",0.086,2.5,9758.76,Acidic Solution,Excellent
"Fe-61%, C-39%",0.038,6.75,5167.84,Alkaline Solution,Excellent
"Cu-71%, Zn-29%",0.434,7.64,3236.34,Oil & Gas Environment,Poor
"Fe-88%, C-12%",0.305,2.45,7953.91,Alkaline Solution,Poor
"Cu-86%, Zn-14%",0.357,7.31,2715.61,Atmospheric,Poor
"Al-69%, Mg-31%",0.02,3.74,4395.32,Atmospheric,Excellent
"Al-89%, C-11%",0.485,6.36,793.78,Acidic Solution,Poor
"Al-78%, C-22%",0.418,6.37,263.25,Sulfide Solution,Poor
"Al-62%, Zn-38%",0.114,5.4,9626.86,Oil & Gas Environment,Excellent
"Cu-66%, Mg-34%",0.099,0.99,8361.44,Acidic Solution,Excellent
"Cu-66%, Zn-34%",0.1,8.37,6962.78,Sulfide Solution,Excellent
"Fe-87%, Zn-13%",0.159,3.28,4095.44,Sulfide Solution,Fair
"Fe-85%, C-15%",0.267,1.95,1741.21,Atmospheric,Fair
"Cu-80%, C-20%",0.222,0.5,1572.81,Seawater,Fair
"Fe-87%, Mg-13%",0.153,5.95,2509.93,Seawater,Fair
"Al-67%, Zn-33%",0.31,6.81,5496.77,Alkaline Solution,Poor
"Al-73%, Mg-27%",0.078,0.26,7148.81,Atmospheric,Excellent
"Cu-67%, C-33%",0.153,5.17,6605.37,Sulfide Solution,Fair
"Fe-65%, C-35%",0.19,2.34,2806.54,Oil & Gas Environment,Fair
"Fe-63%, C-37%",0.233,6.49,9549.1,Seawater,Fair
"Fe-90%, Zn-10%",0.395,1.83,7381.59,Sulfide Solution,Poor
"Fe-71%, C-29%",0.108,6.94,5548,Seawater,Excellent
"Fe-89%, C-11%",0.262,3.93,6121.09,Seawater,Fair
"Fe-75%, Mg-25%",0.3,9.37,4201.8,Seawater,Fair
"Al-82%, C-18%",0.033,1.46,2484.83,Oil & Gas Environment,Excellent
"Cu-67%, C-33%",0.308,3.48,3566.17,Atmospheric,Poor
"Cu-77%, Zn-23%",0.094,1.22,7580.88,Oil & Gas Environment,Excellent
